LINE;PARTICLE;CYCO_SET;CONFIG;MONITOR;DATE;LABEL;DISK;PATH
;;;;;;;;AMereghetti data set, with rough scans at XPR QUEs, to grossly tune focussing, measuements show problem on integral of CAMeretta
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;CAMeretta;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_270mm\HE-025A-QUE\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-025A-QUE;DDS;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_270mm\HE-025A-QUE\PRC-544-*\
XPR3;CARB;STABILITY_270;SCAN_HE-023A-QUE;CAMeretta;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_270mm\HE-023A-QUE\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-023A-QUE;DDS;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_270mm\HE-023A-QUE\PRC-544-*\
XPR3;CARB;STABILITY_270;SCAN_HE-020A-QUE;CAMeretta;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_270mm\HE-020A-QUE\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-020A-QUE;DDS;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_270mm\HE-020A-QUE\PRC-544-*\
XPR3;CARB;STABILITY_270;SCAN_HE-018A-QUE;CAMeretta;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_270mm\HE-018A-QUE\CarbSO2_*\
XPR3;CARB;STABILITY_270;SCAN_HE-018A-QUE;DDS;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_270mm\HE-018A-QUE\PRC-544-*\
XPR3;CARB;STABILITY_150;SCAN_HE-025A-QUE;CAMeretta;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_150mm\HE-025A-QUE\CarbSO2_*\
XPR3;CARB;STABILITY_150;SCAN_HE-025A-QUE;DDS;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_150mm\HE-025A-QUE\PRC-544-*\
XPR3;CARB;STABILITY_150;SCAN_HE-023A-QUE;CAMeretta;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_150mm\HE-023A-QUE\CarbSO2_*\
XPR3;CARB;STABILITY_150;SCAN_HE-023A-QUE;DDS;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_150mm\HE-023A-QUE\PRC-544-*\
XPR3;CARB;STABILITY_150;SCAN_HE-020A-QUE;CAMeretta;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_150mm\HE-020A-QUE\CarbSO2_*\
XPR3;CARB;STABILITY_150;SCAN_HE-020A-QUE;DDS;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_150mm\HE-020A-QUE\PRC-544-*\
XPR3;CARB;STABILITY_150;SCAN_HE-018A-QUE;CAMeretta;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_150mm\HE-018A-QUE\CarbSO2_*\
XPR3;CARB;STABILITY_150;SCAN_HE-018A-QUE;DDS;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_150mm\HE-018A-QUE\PRC-544-*\
XPR3;CARB;STABILITY_030;SCAN_HE-025A-QUE;CAMeretta;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_030mm\HE-025A-QUE\CarbSO2_*\
XPR3;CARB;STABILITY_030;SCAN_HE-025A-QUE;DDS;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_030mm\HE-025A-QUE\PRC-544-*\
XPR3;CARB;STABILITY_030;SCAN_HE-023A-QUE;CAMeretta;08/10/2022;Rough_Scan;K:;Area dati MD\00XPR\XPR3\carbonio\Fuochi\Rough_scan\C_030mm\HE-023A-QUE\CarbSO2_*\
